Appliance,Voltage (V),Power Consumption (W),Daily Usage (hrs),Monthly Usage (%)
Microwave Oven,230,1051.95,0.24,2.31
Geyser,230,2711.09,0.61,8.75
Laptop/Computer,230,561.77,7.91,2.83
Iron,230,2146.68,0.36,2.5
Fan,230,85.41,6.36,24.53
Air Conditioner,230,1836.46,4.19,45.55
Refrigerator,230,568.26,24.0,9.28
LED Bulb,230,8.94,5.83,5.37
Television,230,80.73,4.25,4.51
Washing Machine,230,820.05,1.36,3.41
Microwave Oven,230,1622.73,0.37,2.22
Geyser,230,2523.15,0.84,9.86
Laptop/Computer,230,161.23,5.2,2.17
Iron,230,1076.27,0.24,2.93
Fan,230,74.7,7.26,19.51
Air Conditioner,230,1855.12,5.31,44.94
Refrigerator,230,262.61,24.0,8.45
LED Bulb,230,11.13,5.47,8.63
Television,230,63.73,4.4,3.11
Washing Machine,230,768.64,1.63,4.6
Microwave Oven,230,1172.46,0.18,2.06
Geyser,230,2151.94,0.6,9.01
Laptop/Computer,230,168.91,5.56,2.17
Iron,230,1959.75,0.36,2.94
Fan,230,71.08,7.55,18.02
Air Conditioner,230,1693.71,4.96,49.28
Refrigerator,230,536.79,24.0,9.43
LED Bulb,230,9.18,4.17,9.01
Television,230,214.27,6.78,3.41
Washing Machine,230,981.6,1.43,3.07
Microwave Oven,230,830.73,0.18,2.43
Geyser,230,2375.63,0.84,9.65
Laptop/Computer,230,535.57,8.43,2.28
Iron,230,1188.56,0.18,2.13
Fan,230,120.17,9.96,24.53
Air Conditioner,230,1571.34,4.86,49.86
Refrigerator,230,270.41,24.0,9.76
LED Bulb,230,7.31,5.35,6.35
Television,230,55.34,4.45,4.05
Washing Machine,230,1464.88,2.47,4.23
Microwave Oven,230,927.11,0.22,2.85
Geyser,230,2965.83,0.95,9.95
Laptop/Computer,230,381.65,5.17,2.18
Iron,230,1411.74,0.19,2.18
Fan,230,82.0,6.88,15.4
Air Conditioner,230,1761.09,4.04,47.9
Refrigerator,230,984.46,31.79,8.94
LED Bulb,230,10.81,4.62,8.6
Television,230,126.16,3.83,4.78
Washing Machine,230,668.46,1.97,3.81
Microwave Oven,230,933.16,0.22,2.69
Geyser,230,2018.99,0.76,8.33
Laptop/Computer,230,51.37,4.4,2.1
Iron,230,1320.28,0.23,2.71
Fan,230,120.7,9.92,20.18
Air Conditioner,230,1995.65,4.59,40.14
Refrigerator,230,667.57,24.0,8.13
LED Bulb,230,7.68,4.2,5.88
Television,230,124.15,3.02,3.28
Washing Machine,230,754.47,1.5,4.82
Microwave Oven,230,1470.23,0.35,2.87
Geyser,230,2725.18,0.81,9.15
Laptop/Computer,230,84.07,4.97,2.62
Iron,230,1461.1,0.16,2.99
Fan,230,83.63,7.51,24.87
Air Conditioner,230,2799.82,8.75,49.47
Refrigerator,230,696.92,24.0,9.8
LED Bulb,230,10.98,5.21,7.95
Television,230,60.68,4.32,3.44
Washing Machine,230,580.61,1.06,3.8
Microwave Oven,230,921.98,0.22,2.37
Geyser,230,2525.29,0.52,8.89
Laptop/Computer,230,120.1,4.65,2.26
Iron,230,1452.36,0.22,2.08
Fan,230,114.8,9.71,21.38
Air Conditioner,230,1653.39,5.54,47.43
Refrigerator,230,344.09,24.0,8.45
LED Bulb,230,9.1,5.81,8.35
Television,230,187.98,7.07,4.86
Washing Machine,230,525.28,1.69,4.83
Microwave Oven,230,828.01,0.17,2.69
Geyser,230,2689.27,0.78,9.07
Laptop/Computer,230,129.7,4.17,3.0
Iron,230,1290.37,0.17,2.33
Fan,230,89.63,7.54,19.75
Air Conditioner,230,1625.9,4.18,43.33
Refrigerator,230,512.65,24.0,8.52
LED Bulb,230,9.32,4.44,5.79
Television,230,54.55,3.12,3.84
Washing Machine,230,740.8,1.0,4.05
Microwave Oven,230,839.94,0.19,2.33
Geyser,230,2832.35,0.59,8.48
Laptop/Computer,230,194.06,5.14,2.61
Iron,230,1414.21,0.23,2.29
Fan,230,89.06,7.03,24.35
Air Conditioner,230,1639.97,4.18,42.83
Refrigerator,230,739.57,24.0,8.58
LED Bulb,230,7.6,4.9,8.75
Television,230,113.08,3.9,3.12
Washing Machine,230,578.52,1.12,3.28
Microwave Oven,230,1195.95,0.2,2.33
Geyser,230,2061.9,0.82,9.43
Laptop/Computer,230,289.99,5.71,2.38
Iron,230,1436.07,0.2,2.13
Fan,230,72.64,7.27,23.02
Air Conditioner,230,1781.91,4.09,41.27
Refrigerator,230,420.62,24.0,9.55
LED Bulb,230,7.94,4.98,6.28
Television,230,223.31,6.28,4.17
Washing Machine,230,911.95,1.92,4.57
Microwave Oven,230,876.67,0.22,2.81
Geyser,230,2170.13,0.66,8.59
Laptop/Computer,230,108.41,4.41,2.83
Iron,230,1011.05,0.18,2.95
Fan,230,83.17,6.55,22.61
Air Conditioner,230,1935.65,4.47,40.44
Refrigerator,230,636.78,24.0,9.34
LED Bulb,230,8.66,4.37,9.49
Television,230,141.5,3.5,4.61
Washing Machine,230,620.0,1.98,3.39
Microwave Oven,230,1041.31,0.21,2.03
Geyser,230,2141.02,0.86,8.51
Laptop/Computer,230,73.12,4.67,2.82
Iron,230,1356.25,0.18,2.51
Fan,230,77.96,6.11,16.93
Air Conditioner,230,1979.94,5.41,43.32
Refrigerator,230,1059.73,34.04,9.39
LED Bulb,230,11.74,4.6,6.43
Television,230,142.47,4.58,3.21
Washing Machine,230,579.24,1.74,3.78
Microwave Oven,230,1137.73,0.22,2.51
Geyser,230,2953.66,0.54,8.1
Laptop/Computer,230,315.21,4.9,2.19
Iron,230,1280.96,0.22,2.48
Fan,230,86.19,7.11,21.71
Air Conditioner,230,1845.13,5.56,40.24
Refrigerator,230,281.01,24.0,9.1
LED Bulb,230,11.21,5.91,7.73
Television,230,53.57,3.75,3.68
Washing Machine,230,1386.9,2.58,3.36
Microwave Oven,230,927.18,0.25,2.79
Geyser,230,2169.23,0.61,8.34
Laptop/Computer,230,592.53,8.4,2.47
Iron,230,1311.81,0.24,2.2
Fan,230,74.65,6.82,21.22
Air Conditioner,230,1550.43,5.83,42.78
Refrigerator,230,1090.39,33.78,9.01
LED Bulb,230,14.94,7.29,5.98
Television,230,138.3,3.45,3.1
Washing Machine,230,998.36,1.1,4.67
Microwave Oven,230,1040.09,0.22,2.72
Geyser,230,2925.07,0.9,9.75
Laptop/Computer,230,231.42,4.59,2.34
Iron,230,1280.48,0.22,2.77
Fan,230,81.57,6.36,23.87
Air Conditioner,230,1590.03,4.65,46.82
Refrigerator,230,798.55,24.0,8.58
LED Bulb,230,9.27,5.48,8.24
Television,230,203.49,7.44,3.17
Washing Machine,230,982.22,1.7,4.95
Microwave Oven,230,1616.42,0.33,2.67
Geyser,230,2301.67,0.96,9.55
Laptop/Computer,230,299.71,5.69,2.86
Iron,230,1391.32,0.21,2.69
Fan,230,122.93,11.63,15.03
Air Conditioner,230,1757.38,4.6,44.76
Refrigerator,230,636.07,24.0,8.48
LED Bulb,230,9.53,4.49,8.76
Television,230,218.89,7.5,3.37
Washing Machine,230,682.84,1.01,3.9
Microwave Oven,230,844.32,0.24,2.86
Geyser,230,2170.32,0.6,8.74
Laptop/Computer,230,321.13,5.92,2.14
Iron,230,1267.21,0.24,2.81
Fan,230,84.72,6.52,22.97
Air Conditioner,230,1855.97,4.54,40.01
Refrigerator,230,411.74,24.0,8.33
LED Bulb,230,7.65,5.58,6.11
Television,230,127.78,4.61,3.09
Washing Machine,230,720.77,1.66,3.28
Microwave Oven,230,876.06,0.25,2.75
Geyser,230,2338.07,0.97,8.33
Laptop/Computer,230,274.56,4.5,2.75
Iron,230,1105.31,0.24,2.23
Fan,230,71.9,7.61,24.45
Air Conditioner,230,2441.33,8.06,42.68
Refrigerator,230,1028.92,32.03,8.41
LED Bulb,230,10.36,4.76,5.67
Television,230,146.73,3.83,3.47
Washing Machine,230,920.75,1.08,4.84
Microwave Oven,230,868.89,0.22,2.72
Geyser,230,2891.21,0.53,8.37
Laptop/Computer,230,227.26,5.77,2.5
Iron,230,1474.0,0.23,2.27
Fan,230,80.3,6.72,21.42
Air Conditioner,230,1824.29,4.65,42.45
Refrigerator,230,643.8,24.0,8.57
LED Bulb,230,10.29,4.95,8.81
Television,230,107.27,4.76,4.93
Washing Machine,230,834.29,1.53,4.76
Microwave Oven,230,1170.07,0.22,2.11
Geyser,230,2974.78,0.53,8.23
Laptop/Computer,230,290.1,4.19,2.17
Iron,230,1200.08,0.17,2.89
Fan,230,85.27,6.98,22.4
Air Conditioner,230,1515.69,5.31,40.85
Refrigerator,230,499.75,24.0,8.4
LED Bulb,230,11.35,5.84,6.9
Television,230,64.0,3.02,4.75
Washing Machine,230,949.08,1.43,4.97
Microwave Oven,230,902.7,0.25,2.62
Geyser,230,2813.68,0.69,8.06
Laptop/Computer,230,290.49,5.97,2.2
Iron,230,1134.96,0.24,2.62
Fan,230,84.43,7.01,17.09
Air Conditioner,230,2776.62,8.97,43.38
Refrigerator,230,498.07,24.0,8.55
LED Bulb,230,15.27,7.23,7.18
Television,230,127.45,4.48,3.23
Washing Machine,230,1493.94,2.84,3.38
Microwave Oven,230,1040.12,0.22,2.43
Geyser,230,2872.78,0.53,8.2
Laptop/Computer,230,132.04,4.65,2.76
Iron,230,1264.02,0.2,2.05
Fan,230,83.54,6.72,15.57
Air Conditioner,230,1965.33,5.09,47.8
Refrigerator,230,1174.79,29.79,8.74
LED Bulb,230,11.61,4.59,6.36
Television,230,60.67,3.94,4.5
Washing Machine,230,614.81,1.36,4.48
Microwave Oven,230,886.89,0.2,2.94
Geyser,230,2290.93,0.88,9.76
Laptop/Computer,230,332.39,5.87,3.0
Iron,230,1196.09,0.2,2.21
Fan,230,112.88,9.75,15.32
Air Conditioner,230,1698.21,4.92,48.06
Refrigerator,230,353.41,24.0,9.74
LED Bulb,230,8.24,4.3,9.89
Television,230,117.11,4.8,4.95
Washing Machine,230,556.6,1.76,4.46
Microwave Oven,230,912.23,0.24,2.69
Geyser,230,2755.42,0.73,9.84
Laptop/Computer,230,85.81,5.95,2.42
Iron,230,1177.85,0.21,2.39
Fan,230,71.2,6.29,22.57
Air Conditioner,230,1524.1,4.86,40.48
Refrigerator,230,1029.85,33.63,9.78
LED Bulb,230,7.32,5.18,7.2
Television,230,204.87,6.5,4.0
Washing Machine,230,1422.39,2.62,4.48
Microwave Oven,230,1110.58,0.25,2.99
Geyser,230,2232.74,0.87,8.01
Laptop/Computer,230,257.25,5.64,2.22
Iron,230,1105.45,0.16,2.5
Fan,230,81.59,6.1,18.39
Air Conditioner,230,1692.2,5.66,45.16
Refrigerator,230,301.34,24.0,9.77
LED Bulb,230,8.4,4.77,5.56
Television,230,143.72,4.43,3.57
Washing Machine,230,715.04,1.99,4.84
Microwave Oven,230,805.42,0.17,2.48
Geyser,230,2966.57,0.82,8.09
Laptop/Computer,230,74.03,4.76,2.48
Iron,230,1340.92,0.2,2.65
Fan,230,76.68,6.01,15.02
Air Conditioner,230,1839.84,4.79,49.88
Refrigerator,230,406.15,24.0,9.8
LED Bulb,230,11.71,4.77,5.91
Television,230,129.42,3.2,3.31
Washing Machine,230,539.71,1.59,3.72
Microwave Oven,230,924.68,0.18,2.2
Geyser,230,2794.69,0.53,9.52
Laptop/Computer,230,316.75,4.48,2.23
Iron,230,1243.41,0.25,2.39
Fan,230,75.2,7.91,24.11
Air Conditioner,230,1932.12,4.21,47.52
Refrigerator,230,770.93,24.0,9.49
LED Bulb,230,11.68,4.32,8.97
Television,230,68.52,4.0,3.4
Washing Machine,230,955.58,1.74,4.4
Microwave Oven,230,943.19,0.22,2.3
Geyser,230,2906.85,0.78,9.72
Laptop/Computer,230,176.41,5.82,2.48
Iron,230,1337.6,0.18,2.29
Fan,230,85.76,7.69,16.97
Air Conditioner,230,1575.64,5.03,49.09
Refrigerator,230,388.56,24.0,8.49
LED Bulb,230,11.28,5.65,7.62
Television,230,146.38,4.45,3.3
Washing Machine,230,719.84,1.44,4.22
Microwave Oven,230,808.95,0.19,2.63
Geyser,230,2666.87,0.62,9.93
Laptop/Computer,230,312.78,4.81,2.51
Iron,230,1054.33,0.24,2.58
Fan,230,87.56,6.92,16.98
Air Conditioner,230,1929.79,5.9,46.64
Refrigerator,230,403.66,24.0,8.58
LED Bulb,230,9.09,5.76,9.11
Television,230,85.35,3.39,3.19
Washing Machine,230,983.56,1.84,4.14
Microwave Oven,230,1573.42,0.31,2.82
Geyser,230,2666.53,0.72,8.18
Laptop/Computer,230,535.01,7.74,2.92
Iron,230,1957.91,0.37,2.84
Fan,230,81.9,6.93,24.83
Air Conditioner,230,1802.26,5.18,46.47
Refrigerator,230,773.35,24.0,9.74
LED Bulb,230,8.55,4.82,5.46
Television,230,126.01,4.33,3.45
Washing Machine,230,879.26,1.62,4.91
Microwave Oven,230,1103.5,0.21,2.43
Geyser,230,2268.74,0.67,8.92
Laptop/Computer,230,63.22,5.19,2.52
Iron,230,1268.75,0.2,2.62
Fan,230,89.79,7.45,19.79
Air Conditioner,230,1763.97,5.97,49.62
Refrigerator,230,376.04,24.0,8.28
LED Bulb,230,9.1,5.76,6.46
Television,230,59.36,4.99,3.14
Washing Machine,230,903.53,1.33,3.87
Microwave Oven,230,908.79,0.2,2.91
Geyser,230,2397.96,0.8,8.88
Laptop/Computer,230,242.87,5.74,2.32
Iron,230,1244.73,0.17,2.33
Fan,230,84.1,6.46,20.57
Air Conditioner,230,1758.46,4.34,46.6
Refrigerator,230,239.02,24.0,9.13
LED Bulb,230,7.67,4.84,7.37
Television,230,127.58,4.69,4.51
Washing Machine,230,543.18,1.67,4.5
Microwave Oven,230,1199.25,0.25,2.99
Geyser,230,2780.06,0.59,8.93
Laptop/Computer,230,70.65,5.08,2.06
Iron,230,1001.74,0.17,2.9
Fan,230,88.17,6.17,22.48
Air Conditioner,230,1815.77,5.71,46.87
Refrigerator,230,1044.52,35.65,9.59
LED Bulb,230,7.9,5.63,7.13
Television,230,108.07,4.14,3.6
Washing Machine,230,805.26,1.89,3.69
Microwave Oven,230,929.35,0.22,2.25
Geyser,230,2678.91,0.79,9.11
Laptop/Computer,230,315.86,4.33,2.7
Iron,230,1097.06,0.23,2.51
Fan,230,85.06,7.1,22.52
Air Conditioner,230,1859.48,5.11,43.01
Refrigerator,230,105.34,24.0,8.93
LED Bulb,230,8.86,5.8,5.86
Television,230,108.87,4.18,4.81
Washing Machine,230,910.69,1.75,4.4
Microwave Oven,230,908.0,0.19,2.24
Geyser,230,2371.98,0.6,8.79
Laptop/Computer,230,182.24,4.72,2.39
Iron,230,1159.58,0.23,2.42
Fan,230,119.29,11.93,24.93
Air Conditioner,230,2948.39,8.43,49.21
Refrigerator,230,109.15,24.0,9.97
LED Bulb,230,11.73,5.22,9.02
Television,230,87.04,4.89,4.35
Washing Machine,230,712.71,1.75,4.06
Microwave Oven,230,932.36,0.19,2.93
Geyser,230,2710.72,0.68,9.39
Laptop/Computer,230,62.7,5.03,2.64
Iron,230,1374.95,0.19,2.92
Fan,230,85.7,7.54,24.12
Air Conditioner,230,1742.98,4.13,47.48
Refrigerator,230,143.03,24.0,8.99
LED Bulb,230,8.6,5.37,8.62
Television,230,99.08,4.06,3.49
Washing Machine,230,1386.54,2.97,3.89
Microwave Oven,230,1550.61,0.34,2.27
Geyser,230,2921.43,0.85,8.79
Laptop/Computer,230,383.61,4.59,2.91
Iron,230,1246.3,0.19,2.04
Fan,230,72.59,7.35,17.11
Air Conditioner,230,1642.53,5.88,41.95
Refrigerator,230,250.88,24.0,8.12
LED Bulb,230,8.3,4.96,8.3
Television,230,148.93,4.79,3.89
Washing Machine,230,548.11,1.05,4.46
Microwave Oven,230,804.03,0.17,2.02
Geyser,230,2330.13,0.56,8.93
Laptop/Computer,230,515.94,8.5,2.8
Iron,230,1111.95,0.21,2.83
Fan,230,88.51,6.02,20.22
Air Conditioner,230,1862.44,5.53,47.23
Refrigerator,230,513.62,24.0,8.4
LED Bulb,230,9.68,5.01,9.94
Television,230,101.17,3.63,3.45
Washing Machine,230,704.71,1.89,4.56
Microwave Oven,230,1163.98,0.22,2.02
Geyser,230,4098.65,1.49,8.67
Laptop/Computer,230,262.31,5.48,2.06
Iron,230,1432.97,0.24,2.56
Fan,230,78.11,7.39,17.4
Air Conditioner,230,1590.64,5.86,45.3
Refrigerator,230,582.53,24.0,9.47
LED Bulb,230,9.75,5.95,9.13
Television,230,118.06,3.56,3.18
Washing Machine,230,575.25,1.14,3.84
Microwave Oven,230,1526.34,0.32,2.69
Geyser,230,3606.23,1.41,8.15
Laptop/Computer,230,216.99,5.48,2.58
Iron,230,1106.91,0.19,2.21
Fan,230,82.98,7.12,16.83
Air Conditioner,230,1701.92,5.58,46.45
Refrigerator,230,1112.33,29.82,8.14
LED Bulb,230,7.44,4.35,9.15
Television,230,72.54,3.56,4.19
Washing Machine,230,630.78,1.55,4.81
Microwave Oven,230,892.67,0.16,2.23
Geyser,230,2706.46,0.78,9.99
Laptop/Computer,230,221.64,5.38,2.2
Iron,230,1204.78,0.2,2.26
Fan,230,80.09,7.04,20.02
Air Conditioner,230,1555.86,5.74,40.24
Refrigerator,230,785.31,24.0,9.49
LED Bulb,230,9.32,4.13,8.73
Television,230,87.24,3.64,3.78
Washing Machine,230,869.29,1.42,4.74
Microwave Oven,230,933.4,0.21,2.19
Geyser,230,2975.93,0.6,9.72
Laptop/Computer,230,190.65,5.89,2.84
Iron,230,1443.04,0.25,2.12
Fan,230,78.1,7.87,15.98
Air Conditioner,230,1554.66,4.92,41.28
Refrigerator,230,466.43,24.0,9.39
LED Bulb,230,7.9,4.5,8.78
Television,230,139.68,4.17,3.46
Washing Machine,230,1382.84,2.78,4.69
Microwave Oven,230,1084.13,0.17,2.98
Geyser,230,2040.43,0.77,9.63
Laptop/Computer,230,395.57,5.46,2.02
Iron,230,1014.93,0.22,2.53
Fan,230,85.11,7.78,16.25
Air Conditioner,230,1557.51,4.09,43.9
Refrigerator,230,481.12,24.0,9.82
LED Bulb,230,11.85,4.82,5.31
Television,230,68.15,4.49,4.26
Washing Machine,230,663.03,1.19,4.26
Microwave Oven,230,866.38,0.25,2.35
Geyser,230,2723.94,0.57,9.73
Laptop/Computer,230,396.12,4.43,2.63
Iron,230,1198.76,0.23,2.29
Fan,230,89.09,6.69,21.03
Air Conditioner,230,1800.97,5.95,40.19
Refrigerator,230,108.11,24.0,8.23
LED Bulb,230,9.67,5.72,5.14
Television,230,80.15,3.45,3.52
Washing Machine,230,604.18,1.06,3.39
Microwave Oven,230,932.61,0.25,2.42
Geyser,230,4365.17,1.44,8.1
Laptop/Computer,230,327.2,4.25,2.09
Iron,230,1427.84,0.17,2.49
Fan,230,118.39,10.44,22.29
Air Conditioner,230,2510.81,7.21,49.8
Refrigerator,230,248.96,24.0,8.35
LED Bulb,230,8.44,4.48,7.12
Television,230,141.62,3.88,4.91
Washing Machine,230,554.16,1.5,3.2
Microwave Oven,230,1107.89,0.2,2.15
Geyser,230,2205.64,0.8,9.57
Laptop/Computer,230,223.6,5.54,2.4
Iron,230,1068.01,0.21,2.35
Fan,230,88.29,6.05,20.01
Air Conditioner,230,1962.74,4.64,46.0
Refrigerator,230,1004.9,29.0,9.53
LED Bulb,230,7.84,4.7,8.48
Television,230,144.36,4.15,3.73
Washing Machine,230,921.53,1.24,3.98
Microwave Oven,230,1073.96,0.2,2.66
Geyser,230,2918.99,0.7,8.94
Laptop/Computer,230,375.88,5.19,2.52
Iron,230,1269.76,0.24,2.05
Fan,230,112.89,10.9,24.24
Air Conditioner,230,1656.84,4.06,41.38
Refrigerator,230,425.38,24.0,9.19
LED Bulb,230,10.82,5.37,5.21
Television,230,108.21,3.86,3.62
Washing Machine,230,641.64,1.7,4.42
Microwave Oven,230,912.28,0.18,2.86
Geyser,230,2915.12,0.99,8.82
Laptop/Computer,230,383.17,5.4,2.14
Iron,230,1221.95,0.21,2.96
Fan,230,87.3,6.42,21.59
Air Conditioner,230,1813.16,5.64,46.85
Refrigerator,230,719.18,24.0,8.01
LED Bulb,230,8.63,4.57,9.79
Television,230,57.57,3.95,4.2
Washing Machine,230,796.96,1.09,4.32
Microwave Oven,230,1081.29,0.17,2.19
Geyser,230,2415.2,0.79,8.09
Laptop/Computer,230,102.52,5.58,2.95
Iron,230,1184.66,0.21,2.53
Fan,230,80.1,6.6,23.06
Air Conditioner,230,1570.84,5.8,43.98
Refrigerator,230,273.75,24.0,8.88
LED Bulb,230,9.0,4.63,5.76
Television,230,106.45,3.2,3.31
Washing Machine,230,785.42,1.99,4.01
Microwave Oven,230,1014.46,0.21,2.92
Geyser,230,2681.37,0.58,9.91
Laptop/Computer,230,363.03,4.36,2.35
Iron,230,1389.72,0.17,2.47
Fan,230,84.47,7.61,16.41
Air Conditioner,230,1753.28,4.01,40.99
Refrigerator,230,208.11,24.0,8.44
LED Bulb,230,10.62,5.94,7.13
Television,230,124.65,3.27,4.1
Washing Machine,230,871.64,1.33,3.53
Microwave Oven,230,1156.64,0.21,2.5
Geyser,230,2434.73,0.91,9.45
Laptop/Computer,230,108.95,5.22,2.92
Iron,230,1190.35,0.22,2.65
Fan,230,108.04,11.93,16.37
Air Conditioner,230,1906.93,4.73,41.51
Refrigerator,230,1028.97,30.35,9.95
LED Bulb,230,11.08,4.09,7.94
Television,230,130.2,4.8,3.28
Washing Machine,230,745.47,1.5,4.97
Microwave Oven,230,949.13,0.16,2.73
Geyser,230,2944.82,0.5,9.41
Laptop/Computer,230,381.86,5.84,2.7
Iron,230,1455.32,0.16,2.39
Fan,230,85.78,6.41,24.01
Air Conditioner,230,1943.31,4.08,48.84
Refrigerator,230,495.78,24.0,9.2
LED Bulb,230,10.86,4.76,8.19
Television,230,52.48,3.1,4.34
Washing Machine,230,1492.62,2.6,4.99
Microwave Oven,230,984.79,0.2,2.51
Geyser,230,2705.72,0.56,8.81
Laptop/Computer,230,393.02,4.97,2.39
Iron,230,1056.39,0.25,2.23
Fan,230,87.13,6.07,23.68
Air Conditioner,230,1775.04,5.2,49.0
Refrigerator,230,317.25,24.0,9.71
LED Bulb,230,15.66,8.47,8.34
Television,230,67.66,3.92,3.67
Washing Machine,230,600.67,1.91,4.55
Microwave Oven,230,1025.48,0.16,2.51
Geyser,230,2812.15,0.52,9.13
Laptop/Computer,230,177.73,5.33,2.65
Iron,230,1212.63,0.22,2.67
Fan,230,82.12,6.71,19.48
Air Conditioner,230,1576.4,4.5,42.44
Refrigerator,230,290.77,24.0,8.39
LED Bulb,230,8.99,5.03,7.42
Television,230,63.68,3.48,4.86
Washing Machine,230,567.58,1.22,3.15
Microwave Oven,230,865.05,0.21,2.28
Geyser,230,2834.35,0.81,9.34
Laptop/Computer,230,572.69,8.36,2.11
Iron,230,1473.38,0.24,2.94
Fan,230,74.48,7.7,24.73
Air Conditioner,230,1521.09,4.93,41.22
Refrigerator,230,289.28,24.0,8.62
LED Bulb,230,9.35,5.76,6.72
Television,230,77.1,4.53,4.57
Washing Machine,230,626.45,1.96,4.63
Microwave Oven,230,812.24,0.17,2.38
Geyser,230,2837.63,0.9,9.45
Laptop/Computer,230,362.27,5.79,2.39
Iron,230,1495.62,0.22,2.8
Fan,230,72.0,7.11,16.1
Air Conditioner,230,1559.28,5.54,49.54
Refrigerator,230,789.0,24.0,9.35
LED Bulb,230,10.09,5.16,8.17
Television,230,55.98,4.1,4.92
Washing Machine,230,690.14,1.81,3.4
Microwave Oven,230,1580.48,0.37,2.69
Geyser,230,2346.41,0.53,8.65
Laptop/Computer,230,157.11,4.28,2.95
Iron,230,1409.37,0.24,2.23
Fan,230,88.22,6.5,16.81
Air Conditioner,230,1648.3,4.1,41.05
Refrigerator,230,299.21,24.0,9.81
LED Bulb,230,8.34,5.44,6.04
Television,230,97.88,3.43,4.87
Washing Machine,230,813.61,1.52,3.75
Microwave Oven,230,844.92,0.18,2.57
Geyser,230,2619.38,0.73,8.38
Laptop/Computer,230,79.4,5.06,2.45
Iron,230,1343.26,0.22,2.97
Fan,230,70.71,7.39,17.64
Air Conditioner,230,1669.27,5.06,42.47
Refrigerator,230,226.78,24.0,9.36
LED Bulb,230,9.06,5.56,7.12
Television,230,128.22,4.28,4.14
Washing Machine,230,900.82,1.26,4.29
Microwave Oven,230,918.58,0.19,2.74
Geyser,230,2164.58,0.67,9.13
Laptop/Computer,230,73.69,4.64,2.5
Iron,230,1360.35,0.2,2.7
Fan,230,87.05,7.63,19.16
Air Conditioner,230,1796.83,4.65,45.36
Refrigerator,230,975.54,29.45,9.69
LED Bulb,230,15.32,7.56,8.89
Television,230,93.97,4.03,4.21
Washing Machine,230,951.14,1.11,3.84
Microwave Oven,230,1055.73,0.2,2.11
Geyser,230,2380.84,0.75,9.29
Laptop/Computer,230,160.47,5.24,2.08
Iron,230,1431.07,0.2,2.71
Fan,230,80.96,7.42,23.28
Air Conditioner,230,1634.85,6.0,41.87
Refrigerator,230,707.43,24.0,9.46
LED Bulb,230,7.85,5.03,5.79
Television,230,147.07,4.6,4.76
Washing Machine,230,936.49,1.79,3.53
Microwave Oven,230,1179.74,0.18,2.07
Geyser,230,2132.75,0.95,8.05
Laptop/Computer,230,338.92,4.22,2.75
Iron,230,1346.67,0.18,2.88
Fan,230,81.96,7.55,19.55
Air Conditioner,230,1612.89,5.23,49.63
Refrigerator,230,373.52,24.0,8.41
LED Bulb,230,8.83,4.87,6.66
Television,230,127.91,4.6,3.9
Washing Machine,230,526.6,1.71,3.01
Microwave Oven,230,810.05,0.22,2.16
Geyser,230,2742.04,0.9,9.19
Laptop/Computer,230,180.12,5.36,2.63
Iron,230,1454.64,0.23,2.84
Fan,230,88.85,6.56,21.81
Air Conditioner,230,1619.93,5.18,42.34
Refrigerator,230,1081.63,33.9,9.38
LED Bulb,230,11.72,5.92,8.51
Television,230,89.88,3.74,3.52
Washing Machine,230,658.79,1.57,4.12
Microwave Oven,230,1195.59,0.2,2.87
Geyser,230,2809.44,0.84,9.72
Laptop/Computer,230,54.33,4.82,2.27
Iron,230,1421.06,0.24,2.29
Fan,230,74.74,7.11,17.54
Air Conditioner,230,1509.29,5.1,48.5
Refrigerator,230,420.57,24.0,9.87
LED Bulb,230,17.49,7.43,5.96
Television,230,215.94,7.03,3.79
Washing Machine,230,865.91,1.83,3.29
Microwave Oven,230,862.3,0.18,2.9
Geyser,230,2197.65,0.68,9.16
Laptop/Computer,230,67.13,4.98,2.42
Iron,230,1094.16,0.21,2.39
Fan,230,73.83,6.29,16.72
Air Conditioner,230,2898.25,8.77,48.24
Refrigerator,230,587.35,24.0,9.83
LED Bulb,230,10.27,5.77,6.37
Television,230,71.12,4.7,3.4
Washing Machine,230,593.63,1.23,4.47
Microwave Oven,230,1659.11,0.3,2.88
Geyser,230,2105.48,0.56,8.39
Laptop/Computer,230,534.49,8.03,2.37
Iron,230,1349.9,0.21,2.2
Fan,230,88.8,6.57,17.42
Air Conditioner,230,1651.64,5.9,48.58
Refrigerator,230,645.73,24.0,8.96
LED Bulb,230,9.45,5.22,6.4
Television,230,89.02,3.99,3.9
Washing Machine,230,716.85,1.36,4.97
Microwave Oven,230,1170.77,0.22,2.62
Geyser,230,2316.24,0.68,8.17
Laptop/Computer,230,209.04,5.46,2.77
Iron,230,1113.18,0.18,2.34
Fan,230,78.87,6.03,19.5
Air Conditioner,230,1996.63,5.11,45.3
Refrigerator,230,786.26,24.0,8.22
LED Bulb,230,11.4,4.75,7.05
Television,230,104.08,3.48,4.42
Washing Machine,230,609.76,1.21,3.48
Microwave Oven,230,1007.86,0.21,2.35
Geyser,230,3663.5,1.21,8.69
Laptop/Computer,230,278.19,5.98,2.79
Iron,230,2204.69,0.32,2.5
Fan,230,89.23,7.07,17.48
Air Conditioner,230,1815.43,5.64,49.66
Refrigerator,230,144.5,24.0,8.46
LED Bulb,230,15.05,7.51,8.71
