Appliance,Voltage (V),Power Consumption (W),Daily Usage (hrs),Monthly Usage (%),Daily Energy Consumption (Wh)
Laptop/Computer,230,-0.8902404546989556,-0.09343303338747172,2.76,0.08317786612676553
Iron,230,0.2052976619078851,-0.7574865298166253,2.52,-0.15551021349807068
Fan,230,-0.90272967536083,0.2597869115216525,18.96,-0.23451735430093404
Air Conditioner,230,1.2459036074184422,-0.15418686391184117,44.03,-0.19210196996429932
Refrigerator,230,-0.31477297961003553,2.6051673457182374,9.88,-0.8200362877944971
LED Bulb,230,-0.9877515750027364,-0.16831566170820608,9.76,0.16625405994990833
Television,230,-0.9136662433632879,-0.1273421480987477,4.56,0.11634822207519427
Washing Machine,230,-0.38497101298539793,-0.5709863989046077,3.25,0.21981321238719131
Microwave Oven,230,0.0014581675118136676,-0.7574865298166253,2.02,-0.001104542248415078
Geyser,230,3.17462687411513,-0.6105470327344297,9.25,-1.9382590180299704
Laptop/Computer,230,-0.6310154599629755,-0.07789135581147033,2.96,0.04915064971451474
Iron,230,1.3918189577103035,-0.7362933331220779,2.99,-1.0247870194750157
Fan,230,-0.9193441921396937,0.25272251262346995,20.6,-0.23233897420333752
Air Conditioner,230,1.0822970833941072,-0.01007312638891842,48.5,-0.010902115311386622
Refrigerator,230,-0.6232635298969845,2.6051673457182374,8.58,-1.6237057958647065
LED Bulb,230,-0.9854622623224292,-0.205050535978755,7.97,0.20206956507605056
Television,230,-0.8581674107124728,-0.11745198964129216,4.27,0.10079346983349588
Washing Machine,230,0.5456345915595043,-0.43252418050023106,3.49,-0.23600015456685292
Microwave Oven,230,0.29053489294051343,-0.7588994095962618,2.48,-0.22048675871966877
Geyser,230,1.4216933548652042,-0.6811910217162545,9.08,-0.9684447489678379
Laptop/Computer,230,-0.5782139363117302,-0.1626641425896601,2.63,0.09405467418353994
Iron,230,0.5181628393958172,-0.7617251691555349,2.98,-0.3946976764888911
Fan,230,-0.9003383636007071,0.30076042513111095,20.41,-0.2707861489983974
Air Conditioner,230,0.791248375755638,0.004055671407446499,48.15,0.0032090434137406246
Refrigerator,230,-0.16635298524714498,2.6051673457182374,9.37,-0.4333773650286098
LED Bulb,230,-0.9883409030194491,-0.01007312638891842,5.65,0.009955682831452674
Television,230,-0.855096105086912,-0.3067778801125828,4.19,0.2623245704110892
Washing Machine,230,-0.29047453215172486,-0.5314257650747859,3.07,0.15436565048347087
Microwave Oven,230,0.9178292338068846,-0.7391190926813509,2.45,-0.6783851105277641
Geyser,230,2.1811671699415935,-0.6811910217162545,8.7,-1.4857914930264653
Laptop/Computer,230,-0.6966462012088138,-0.05952391867619589,2.19,0.041467111826834234
Iron,230,0.4873364508293035,-0.7631380489351713,2.51,-0.3719049882608657
Fan,230,-0.9165562172913986,0.11567317399872977,15.9,-0.10602096680236552
Air Conditioner,230,1.2151112185452004,0.05209358391508737,41.16,0.06329949822944847
Refrigerator,230,-0.6256321751949262,2.6051673457182374,9.3,-1.6298765132484931
LED Bulb,230,-0.9812916332810773,0.3841203321296641,8.11,-0.376934068091988
Television,230,-0.9030470058313677,-0.3336225959256762,4.07,0.30127688632837013
Washing Machine,230,-0.3745104406887464,-0.5469674426507873,3.94,0.204845017989543
Microwave Oven,230,-0.08350706597463957,-0.7560736500369889,2.5,0.06313749217532538
Geyser,230,2.095408610278796,-0.6486947867846151,8.83,-1.3592806416714502
Laptop/Computer,230,-0.8542687792172962,-0.12310350875983815,2.55,0.10516348414563266
Iron,230,0.5820482630536987,-0.7617251691555349,2.5,-0.44336081163126395
Fan,230,-0.9024690110457455,0.2357679552678321,23.6,-0.212773273426838
Air Conditioner,230,0.8436419030876205,0.04785494457617798,47.69,0.040372436514399396
Refrigerator,230,0.15851408396576444,3.4105088201110405,8.79,0.5406136814770617
LED Bulb,230,-0.9885109014858086,-0.09625879294674478,7.47,0.09515286619172247
Television,230,-0.9348820519649472,-0.3463385139424047,4.83,0.3237856605889658
Washing Machine,230,-0.15916771673568553,-0.6359788687678867,4.97,0.1012273044339287
Microwave Oven,230,0.07722081735267533,-0.7588994095962618,2.53,-0.058602832697486076
Geyser,230,1.520859126908217,-0.6698879834791625,8.69,-1.018805253680425
Laptop/Computer,230,-0.777112141952287,0.022423108542720945,2.68,-0.017425269908862496
Iron,230,0.411415135753173,-0.7574865298166253,2.83,-0.31164142349570684
Fan,230,-0.8720279523363134,0.7938554682242482,16.11,-0.6922641584065765
Air Conditioner,230,1.9858275988634944,0.37423017367220884,44.46,0.7431566072057509
Refrigerator,230,-0.10653619155079969,2.6051673457182374,8.28,-0.27754460736532655
LED Bulb,230,-0.9907435480106627,-0.0736527164725608,5.67,0.07297095363864826
Television,230,-0.916850881299755,-0.2149406944362105,4.45,0.19706856512102094
Washing Machine,230,0.6365157716752664,-0.37883474887404417,4.41,-0.241134292516968
Microwave Oven,230,1.0242369405168097,-0.7377062129017145,2.31,-0.7555859545026943
Geyser,230,1.3874216640471393,-0.7009713386311656,9.81,-0.9725428210930025
Laptop/Computer,230,-0.7668555678152668,-0.21635357421584697,2.88,0.1659119430041558
Iron,230,0.1739046117868399,-0.7588994095962618,2.63,-0.13197610721109992
Fan,230,-0.8484888313610748,0.6031166979733212,19.19,-0.5117377822377336
Air Conditioner,230,2.073059478568074,0.28804450711438234,44.42,0.5971333957229393
Refrigerator,230,-0.7675355616807046,2.6051673457182374,8.22,-1.9995585819680777
LED Bulb,230,-0.9894062267419683,0.021010228763084476,5.13,-0.020787651163468986
Television,230,-0.935936042456376,-0.23472101135112147,3.1,0.21968385444532673
Washing Machine,230,-0.26109879716481177,-0.5582704808878792,4.04,0.1457637510524463
Microwave Oven,230,0.15674609991562607,-0.7574865298166253,2.08,-0.11873305928737762
Geyser,230,1.3411027485797342,-0.7052099779700749,9.86,-0.9457590397815213
Laptop/Computer,230,-0.5480448751484731,-0.199399016860209,2.7,0.10927960929988152
Iron,230,0.4604653599134199,-0.7560736500369889,2.66,-0.34814572538533517
Fan,230,-0.9136549101321974,0.16371108650637065,15.8,-0.14957543802962245
Air Conditioner,230,2.1731205758672463,0.4476999222133066,43.39,0.9729059127759022
Refrigerator,230,0.29756149621670414,3.72134237163107,9.43,1.1073282040371595
LED Bulb,230,-0.9788889882898637,0.4462870424336702,8.7,-0.4368654714547709
Television,230,-0.8697159731938247,-0.25450132826603244,4.67,0.22134387039201345
Washing Machine,230,-0.10499487212247398,-0.5822894371416997,3.2,0.061137404990960105
Microwave Oven,230,0.1490848356983602,-0.7603122893758983,2.02,-0.1133510327410499
Geyser,230,3.6135289145619582,-0.6063083933955201,8.94,-2.1909129106763188
Laptop/Computer,230,-0.8785672266756068,-0.15277398413220458,2.54,0.13422221554721414
Iron,230,0.6070153711463565,-0.7631380489351713,2.69,-0.4632365260102894
Fan,230,-0.904259661558065,0.13121485157473128,22.84,-0.11865229727635825
Air Conditioner,230,0.7027698406310895,0.004055671407446499,48.4,0.0028502035486632424
Refrigerator,230,-0.35591260846902256,2.6051673457182374,9.21,-0.9272119055128978
LED Bulb,230,-0.9873435786834737,-0.058111038896559296,5.04,0.05737556110514339
Television,230,-0.9356527116791102,-0.08778151426892573,4.17,0.08213301186101887
Washing Machine,230,-0.3318181591703432,-0.5879409562602458,4.31,0.195089485807126
Microwave Oven,230,0.24292398912877677,-0.7546607702573523,2.41,-0.18332520474991137
Geyser,230,2.2048422896899194,-0.7094486173089845,9.66,-1.5642223138048887
Laptop/Computer,230,-0.6163502589317003,0.03231326700017646,2.36,-0.019916290482487928
Iron,230,0.30023613875409266,-0.7560736500369889,2.08,-0.22700063330081868
Fan,230,-0.9094162817043018,0.10578301554127424,22.44,-0.09620079666101398
Air Conditioner,230,0.8867875138496489,-0.0538723995576499,49.18,-0.04777337126884328
Refrigerator,230,-0.7598062980768949,2.6051673457182374,8.28,-1.9794225568209842
LED Bulb,230,-0.9854055961669759,-0.06800119735401482,5.54,0.06700876041870116
Television,230,-0.9348367190405849,-0.29406196209585433,4.01,0.2748999198403253
Washing Machine,230,-0.1162714370576509,-0.5837023169213362,3.19,0.06786790720232415
Microwave Oven,230,0.17351928192975857,-0.7617251691555349,2.3,-0.1321740043796923
Geyser,230,1.5145125174974643,-0.6811910217162545,8.7,-1.0316723291961545
Laptop/Computer,230,-0.6853356365803651,-0.20646341575839158,2.97,0.1414967364693339
Iron,230,0.21445491262911406,-0.7588994095962618,2.44,-0.16274970657925256
Fan,230,-0.9025370104322893,0.19196868209910062,23.79,-0.1732588404383488
Air Conditioner,230,0.8523231581030433,-0.199399016860209,47.41,-0.1699523997729353
Refrigerator,230,-0.22823242700198476,2.6051673457182374,8.65,-0.594583666059592
LED Bulb,230,-0.9870942475994798,-0.16548990214893317,7.02,0.16335413044701272
Television,230,-0.9038063323144399,-0.10756183118383676,3.63,0.09721506413928845
Washing Machine,230,0.016191367929632685,-0.5554447213286063,3.73,-0.00899340984760376
Microwave Oven,230,-0.05147935491251916,-0.7574865298166253,2.3,0.03899491790988258
Geyser,230,1.638146735465147,-0.6783652621569816,8.43,-1.1112618396554181
Laptop/Computer,230,-0.4271986320290853,0.4152036872816671,2.11,-0.17737444722016033
Iron,230,0.18820714942321512,-0.7603122893758983,2.54,-0.14309620865487646
Fan,230,-0.9007010269956072,0.1340406111340042,16.79,-0.1207305161075164
Air Conditioner,230,1.2311137408451702,-0.01996328484637394,47.0,-0.02457707428677712
Refrigerator,230,-0.6561185668287208,2.6051673457182374,9.21,-1.7092986652216327
LED Bulb,230,-0.9876835756161926,-0.1725543010471156,8.97,0.17042904904616807
Television,230,-0.9386220182248552,-0.1725543010471156,4.52,0.1619632663022229
Washing Machine,230,0.055347681347759324,-0.5059939290413289,4.81,-0.028005590748480216
Microwave Oven,230,0.16507602476723918,-0.7603122893758983,2.27,-0.1255093303118521
Geyser,230,2.2821462589591066,-0.7066228577497116,8.91,-1.6126167113084973
Laptop/Computer,230,-0.3866483311868112,0.3403210589609328,2.77,-0.13158456951497305
Iron,230,0.29271087330991424,-0.7546607702573523,2.45,-0.22089741311476216
Fan,230,-0.9178708720979116,0.07046102105036182,15.29,-0.06467411884040491
Air Conditioner,230,1.772252858960572,0.3869460916889373,46.61,0.6857663172593387
Refrigerator,230,-0.5661667116623905,2.6051673457182374,9.51,-1.4749590294555326
LED Bulb,230,-0.9869469155953016,-0.16548990214893317,7.15,0.16332974848805787
Television,230,-0.9097109457126581,-0.24884980914748647,4.11,0.22638139521997439
Washing Machine,230,-0.19239675029341266,-0.5413159235322413,4.71,0.1041474245696807
Microwave Oven,230,0.12365306513098652,-0.7560736500369889,2.31,-0.09349082429184649
Geyser,230,3.358406549480786,-0.6020697540566107,8.02,-2.0219950052680074
Laptop/Computer,230,-0.5648860565491493,-0.13864518633583967,2.45,0.07831873256877446
Iron,230,0.27642502023267906,-0.7560736500369889,2.1,-0.20899767400887018
Fan,230,-0.8996470365041787,0.08035117950781734,23.44,-0.07228770052382316
Air Conditioner,230,0.9445189930253183,-0.1273421480987477,40.79,-0.12027707749191012
Refrigerator,230,-0.4093261265991618,2.6051673457182374,9.88,-1.0663630587654656
LED Bulb,230,-0.9865729189693108,-0.06517543779474189,6.81,0.06430032191026124
Television,230,-0.8312169871789546,-0.20081189663984558,3.69,0.1669182597146641
Washing Machine,230,0.07006954853448773,-0.5865280764806092,3.68,-0.04109775752179778
Microwave Oven,230,0.05755766141043223,-0.7532478904777158,2.32,-0.04335518703823871
Geyser,230,1.9419906610049378,-0.6670622239198896,9.53,-1.29542860916161
Laptop/Computer,230,-0.6545319144760328,-0.03409208264273886,2.12,0.02231435612062699
Iron,230,1.0726185040427092,-0.7405319724609873,2.44,-0.7943082964969009
Fan,230,-0.8969837271978806,0.1298019717950948,19.17,-0.11643025645839832
Air Conditioner,230,0.7687632452718282,-0.12451638853947475,41.94,-0.09572362294313448
Refrigerator,230,-0.7754348237508737,2.6051673457182374,8.12,-2.0201374815685527
LED Bulb,230,-0.9907435480106627,-0.03691784220201192,9.2,0.036576113968119064
Television,230,-0.9222794989921669,-0.2615657271642149,3.38,0.24123670780253392
Washing Machine,230,-0.2765459911413405,-0.5356644044136953,3.29,0.14813584363772123
Microwave Oven,230,-0.07628779776990824,-0.7532478904777158,2.9,0.05746362273937397
Geyser,230,1.3332828191272,-0.6501076665642516,9.06,-0.866777382412991
Laptop/Computer,230,-0.8819331963095239,-0.018550405066737472,2.25,0.016360218033344167
Iron,230,0.39051665762205146,-0.7504221309184429,2.43,-0.2930523423718878
Fan,230,-0.914028906758188,0.1509951684896422,24.16,-0.13801394878035605
Air Conditioner,230,1.1374332526500224,0.016771589424174952,40.78,0.01907656351085003
Refrigerator,230,-0.7042281328084453,2.6051673457182374,9.83,-1.8346321355286879
LED Bulb,230,-0.9896215581326904,0.02807462766126694,8.15,-0.027783256770138116
Television,230,-0.8417795585554217,-0.3590544319591332,4.69,0.3022446812319269
Washing Machine,230,-0.025152259088985624,-0.5483803224304238,4.58,0.013793003949071493
Microwave Oven,230,0.22634347204318495,-0.7574865298166253,2.41,-0.1714521311846385
Geyser,230,1.4780195133856353,-0.685429661055164,8.21,-1.0130784140928344
Laptop/Computer,230,-0.874793260722427,-0.012898885948191479,2.17,0.011283858498305118
Iron,230,0.689430627637418,-0.7617251691555349,2.34,-0.5251566614581188
Fan,230,-0.9096429463261143,0.12415045267654881,15.72,-0.11293258356041669
Air Conditioner,230,1.1068561951675027,0.01959734898344801,47.75,0.021691447131188993
Refrigerator,230,-0.4241159931724339,2.6051673457182374,8.98,-1.1048931362096839
LED Bulb,230,-0.9890662298092494,-0.16972854148784255,8.3,0.1678727686204032
Television,230,-0.8495881547768658,-0.2898233227569449,4.3,0.24623046199237283
Washing Machine,230,-0.19955935234269087,-0.5497932022100603,4.01,0.10971637535545373
Microwave Oven,230,0.25712452768533617,-0.7560736500369889,2.5,-0.19440508016108893
Geyser,230,1.6415580380234265,-0.7108614970886209,8.05,-1.1669204044671921
Laptop/Computer,230,-0.8604000572373269,0.04926782435581444,2.3,-0.04239003889570132
Iron,230,0.37842410004834914,-0.7532478904777158,2.11,-0.28504715506734707
Fan,230,-0.8997377023529036,0.19479444165837367,24.71,-0.17526390336882186
Air Conditioner,230,0.7436601384060826,-0.12310350875983815,41.21,-0.09154717236261564
Refrigerator,230,-0.1574223991477284,2.6051673457182374,8.18,-0.4101116937442845
LED Bulb,230,-0.9872189131414767,-0.08354287493001633,6.15,0.08247510618912504
Television,230,-0.8901384556191401,-0.09484591316710832,4.88,0.08442599466835686
Washing Machine,230,0.12809569171851343,-0.5992439944973377,4.34,-0.07676057398330152
Microwave Oven,230,0.15288146811372127,-0.7518350106980793,2.34,-0.11494164021481772
Geyser,230,1.9504339181674568,-0.6755395025977085,8.59,-1.3175951589285433
Laptop/Computer,230,-0.7332525376315487,-0.19092173818239006,2.84,0.13999384901126366
Iron,230,0.3792740923801464,-0.7560736500369889,2.6,-0.28675914739032343
Fan,230,-0.9001910315965289,0.1199118133376393,19.67,-0.10794353894901994
Air Conditioner,230,1.0926783230731245,-0.0030087274907359607,40.44,-0.003287571309161379
Refrigerator,230,-0.830038331145529,2.6051673457182374,9.31,-2.1623887559947934
LED Bulb,230,-0.9894742261285121,0.0351390265594494,8.19,-0.03476916111182043
Television,230,-0.91406290645146,-0.3039521205533098,4.36,0.2778313587350429
Washing Machine,230,0.05312636805399593,-0.6161985518529757,3.6,-0.032736391060080486
Microwave Oven,230,0.15358412844134034,-0.7574865298166253,2.57,-0.11633790848794176
Geyser,230,2.2702123666206733,-0.708035737529348,9.93,-1.607391487348515
Laptop/Computer,230,-0.568909353586323,0.011120070305628959,2.9,-0.006326312009409836
Iron,230,0.34681571853658194,-0.7532478904777158,2.95,-0.2612382083721936
Fan,230,-0.8999643669747163,0.16512396628600723,18.3,-0.14860568579094088
Air Conditioner,230,0.7715965530444856,-0.20646341575839158,40.47,-0.15930645992896547
Refrigerator,230,-0.8284516787928409,2.6051673457182374,8.43,-2.158255261096563
LED Bulb,230,-0.9866522515869453,-0.0793042355911068,6.23,0.07824570260634708
Television,230,-0.9002590309830727,-0.27993316429948933,4.86,0.25201235923228354
Washing Machine,230,0.49236840543354327,-0.36329307129804267,4.57,-0.1788740302200718
Microwave Oven,230,0.05116571907531692,-0.7560736500369889,2.45,-0.03868505197804205
Geyser,230,1.47864284109562,-0.6501076665642516,8.13,-0.961277047106609
Laptop/Computer,230,-0.8251083756211051,0.015358709644538485,2.42,-0.012672599966441348
Iron,230,0.5950814788079232,-0.7518350106980793,2.18,-0.4474030899857838
Fan,230,-0.9115469291493402,0.28945738689401895,20.82,-0.26385399214283545
Air Conditioner,230,0.7709732253345007,-0.11321335030238276,46.0,-0.0872844618335527
Refrigerator,230,-0.5198931291193482,2.6051673457182374,8.93,-1.3544086032450011
LED Bulb,230,-0.9893042276621528,-0.0015958477110994938,8.66,0.001578778887295699
Television,230,-0.861408714804393,-0.2898233227569449,3.35,0.24965633597639866
Washing Machine,230,-0.08063975850871008,-0.5978311147177012,3.41,0.04820895671982838
Microwave Oven,230,0.2567165313660733,-0.7588994095962618,2.52,-0.19482202408731325
Geyser,230,1.7094667587184817,-0.6924940599533465,9.94,-1.1837955761002492
Laptop/Computer,230,-0.6057536878619612,0.013945829864902018,2.58,-0.008447737870959872
Iron,230,0.5410106332745274,-0.7603122893758983,2.13,-0.4113370331616605
Fan,230,-0.9057556480620282,0.2710899497587445,19.0,-0.2455412531268343
Air Conditioner,230,1.077593792491496,0.02807462766126694,40.82,0.0302530444942913
Refrigerator,230,0.1262143753574689,3.3398648311292156,9.36,0.4215389534393523
LED Bulb,230,-0.9883862359438116,-0.014311765727827946,8.12,0.01414555225743751
Television,230,-0.8370309347284478,-0.24037253046966747,3.62,0.20119924386206806
Washing Machine,230,-0.342176732387179,-0.5116454481598749,3.31,0.17507316759211977
Microwave Oven,230,0.26798176307015964,-0.7546607702573523,2.98,-0.20223532373344996
Geyser,230,2.0082447299607606,-0.6713008632587991,9.43,-1.3481364208575926
Laptop/Computer,230,-0.5622567469361232,-0.04963376021874037,2.44,0.027906916558796523
Iron,230,0.4144977746098244,-0.7504221309184429,2.59,-0.3110483032836569
Fan,230,-0.9094502813975736,0.2145747585732846,20.39,-0.19514507456529007
Air Conditioner,230,1.249099578586,0.054919343474360435,41.03,0.0685997287900434
Refrigerator,230,-0.19402873557046343,2.6051673457182374,9.83,-0.50547732603917
LED Bulb,230,-0.9866409183558547,-0.1895088584027536,7.17,0.18697719409106245
Television,230,-0.9290794376465449,-0.21635357421584697,4.9,0.20100965706527912
Washing Machine,230,0.07854680539027899,-0.6147856720733391,3.81,-0.048289450541076445
Microwave Oven,230,0.053534364373258626,-0.7617251691555349,2.57,-0.04077847275785447
Geyser,230,3.698516814510593,-0.5992439944973377,8.75,-2.2163139896428965
Laptop/Computer,230,-0.7577323167873096,-0.15842550325075058,2.91,0.12004412361638668
Iron,230,1.125930023093033,-0.7405319724609873,2.42,-0.8337871808541287
Fan,230,-0.9081242933599699,0.20185884055655612,18.38,-0.18331291693888535
Air Conditioner,230,0.8979280800117384,0.025248868101994004,44.74,0.0226716676572931
Refrigerator,230,-0.47147756590017675,2.6051673457182374,9.16,-1.2282779589218589
LED Bulb,230,-0.9862782549609544,-0.1047360716245637,9.79,0.10329890995334023
Television,230,-0.836906269186451,-0.21635357421584697,3.49,0.18106766262213841
Washing Machine,230,-0.20759461318594757,-0.5441416830915143,4.88,0.11296088221973338
Microwave Oven,230,0.3347911603494236,-0.7518350106980793,2.81,-0.25170771562293126
Geyser,230,1.657254563083949,-0.6472819070049787,8.63,-1.0727108939856813
Laptop/Computer,230,-0.7390098190255888,-0.1895088584027536,2.22,0.14004890715196489
Iron,230,0.3376811342775342,-0.7560736500369889,2.2,-0.25531180774184586
Fan,230,-0.8972330582818745,0.30076042513111095,21.63,-0.26985219605054345
Air Conditioner,230,0.9562035542797578,-0.11321335030238276,42.95,-0.10825500795105769
Refrigerator,230,-0.2575174961401727,2.6051673457182374,9.77,-0.6708761718955002
LED Bulb,230,-0.9886015673345336,-0.02278904440564687,6.03,0.022529285017478782
Television,230,-0.7529383600359731,0.24565811372528748,4.15,-0.18496541727784854
Washing Machine,230,-0.10594686353408694,-0.5158840874987843,3.6,0.05465630101764067
Microwave Oven,230,-0.03887680193973858,-0.7560736500369889,2.9,0.02939372554434324
Geyser,230,1.2899445434366303,-0.6614107048013436,8.82,-0.8531831296290691
Laptop/Computer,230,-0.706778109803837,-0.014311765727827946,2.89,0.010115242729069572
Iron,230,0.6090666859737606,-0.7603122893758983,2.63,-0.46308088639530126
Fan,230,-0.9073876333390789,0.17783988430273567,22.52,-0.16136971173075493
Air Conditioner,230,0.8189014596167753,-0.17396718082675208,40.0,-0.14246197830444277
Refrigerator,230,0.2754730288210662,4.210198775385297,9.57,1.1597962085941318
LED Bulb,230,-0.9871735802171143,-0.05952391867619589,7.56,0.05876043990813266
Television,230,-0.756462994905159,0.15240804826927865,4.74,-0.11529104864142856
Washing Machine,230,-0.411706105128194,-0.5512060819896968,3.72,0.22693490913895004
Microwave Oven,230,0.8291693669848861,-0.7348804533424413,2.09,-0.6093403603075181
Geyser,230,3.5455408612492687,-0.6147856720733391,8.79,-2.1797477212466174
Laptop/Computer,230,-0.6340300994330831,0.005468551187082966,2.65,-0.0034672260529011174
Iron,230,0.41472443923163704,-0.7518350106980793,2.98,-0.3118043532064728
Fan,230,-0.9114222636073432,0.1509951684896422,17.89,-0.1376203582586019
Air Conditioner,230,1.2563075135596404,0.057745103033633366,43.03,0.07254560681242918
Refrigerator,230,-0.15539375078250567,2.6051673457182374,8.22,-0.40482672526726154
LED Bulb,230,-0.9869129159020298,-0.13299366721729367,7.71,0.13125316790992347
Television,230,-0.8405782360598151,-0.23048237201221194,4.46,0.1937384657089072
Washing Machine,230,-0.3755984308734469,-0.6218500709715217,3.54,0.23356591089544515
Microwave Oven,230,0.3148560068610055,-0.7617251691555349,2.02,-0.2398337450858357
Geyser,230,1.6311541318822285,-0.657172065462434,9.57,-1.0719489299366276
Laptop/Computer,230,-0.7485410663728087,-0.03267920286310239,2.31,0.024461725359360007
Iron,230,0.24312798728840793,-0.7574865298166253,2.05,-0.1841661753923967
Fan,230,-0.9044409932555152,0.27956722843656345,23.99,-0.25285206176885694
Air Conditioner,230,1.810230516345273,0.23435507548819548,49.81,0.42423670930913154
Refrigerator,230,-0.1788875388333817,2.6051673457182374,8.37,-0.46603197472462915
LED Bulb,230,-0.9867315842045796,-0.1485353447932952,6.29,0.14656451607826163
Television,230,-0.8810038713600923,-0.3548157926202237,4.83,0.31259408691811674
Washing Machine,230,-0.07498447619448582,-0.5074068088209654,3.48,0.038047633776955705
Microwave Oven,230,0.921977196386055,-0.7377062129017145,2.72,-0.6801483059276969
Geyser,230,3.368243794067453,-0.6147856720733391,9.27,-2.0707480246426124
Laptop/Computer,230,-0.3301068412756579,0.4194423266205765,2.71,-0.13846078153803132
Iron,230,0.21703888931777768,-0.7518350106980793,2.97,-0.16317743567213064
Fan,230,-0.9063223096165597,0.2541353924031065,20.91,-0.23032857579809418
Air Conditioner,230,1.173960256455123,-0.14005806611547614,46.13,-0.16442260321553295
Refrigerator,230,-0.36567052043805487,2.6051673457182374,9.5,-0.9526328991370139
LED Bulb,230,-0.9885675676412616,0.008294310746356025,6.67,-0.008199486599785952
Television,230,-0.8313529859520422,-0.2573270878253054,4.18,0.21392964282991103
Washing Machine,230,0.096985972374734,-0.6020697540566107,4.52,-0.058392320534597336
Microwave Oven,230,0.006592121195869032,-0.7574865298166253,2.33,-0.0049934430087894555
Geyser,230,1.6499899619548553,-0.6599978250217071,9.31,-1.0889897861978537
Laptop/Computer,230,-0.8824658581707835,0.045029185016904914,2.58,-0.03973671839867398
Iron,230,0.3874566852275813,-0.7617251691555349,2.37,-0.2951355090954222
Fan,230,-0.8987517112480189,0.10578301554127424,17.57,-0.09507266623869601
Air Conditioner,230,1.198156704833618,-0.12169062898020169,44.75,-0.14580444302804882
Refrigerator,230,-0.33923009230361517,2.6051673457182374,8.46,-0.8837511591543618
LED Bulb,230,-0.988068905473274,-0.1061489514042003,5.33,0.10488247823108394
Television,230,-0.9035003350749928,-0.3350354757053128,3.28,0.3027046645617597
Washing Machine,230,-0.19100276286926526,-0.5709863989046077,4.18,0.10905997975155249
Microwave Oven,230,0.29384419641897724,-0.7631380489351713,2.91,-0.22424368674610157
Geyser,230,1.4797421645114115,-0.6599978250217071,9.34,-0.9766266101704447
Laptop/Computer,230,-0.5472062160477665,-0.1838573392842076,2.34,0.10060787892232162
Iron,230,0.2203368595651511,-0.7631380489351713,2.02,-0.16814744111705224
Fan,230,-0.913326246430569,0.2753285890976539,21.9,-0.25146482681558474
Air Conditioner,230,1.0463367411435383,0.057745103033633366,49.79,0.06042082292520978
Refrigerator,230,0.3355504868324959,3.827308355103807,9.45,1.2842551818131616
LED Bulb,230,-0.9860515903391419,0.029487507440903404,8.72,-0.029076203607240083
Television,230,-0.7690995475712115,0.11284741443945683,4.31,-0.08679089538996725
Washing Machine,230,-0.19399473587719157,-0.6020697540566107,4.94,0.11679836291785788
Microwave Oven,230,0.0877153893425987,-0.7603122893758983,2.6,-0.06669108848456949
Geyser,230,2.0375411323300394,-0.6713008632587991,8.73,-1.3678031210584665
Laptop/Computer,230,-0.8284856784861129,-0.0538723995576499,2.86,0.044632511499194547
Iron,230,0.4082758307410685,-0.7574865298166253,2.07,-0.30926344223605184
Fan,230,-0.901936349184486,0.06339662215217937,16.93,-0.057179717934564965
Air Conditioner,230,2.0838147148730815,0.261199791301289,45.79,0.544291968635404
Refrigerator,230,-0.602603049618766,2.6051673457182374,8.39,-1.5698817872970359
LED Bulb,230,-0.9870375814440268,-0.11321335030238276,5.65,0.11174583146963926
Television,230,-0.7609736208792298,0.11143453465982024,4.25,-0.08479874133107544
Washing Machine,230,-0.2040473118545804,-0.6119599125140662,3.9,0.1248687751112594
Microwave Oven,230,0.2685257581625099,-0.7617251691555349,2.39,-0.2045428285589561
Geyser,230,1.750901051585825,-0.6486947867846151,8.7,-1.135800384339425
Laptop/Computer,230,-0.9333747322298935,-0.16972854148784255,2.46,0.1584203319629854
Iron,230,0.6681808193424867,-0.7560736500369889,2.3,-0.5051939109649798
Fan,230,-0.9091896170824891,0.20468460011582906,19.67,-0.18609711320199304
Air Conditioner,230,1.2449742824690104,-0.11180047052274629,49.91,-0.13918871056875382
Refrigerator,230,-0.2587754847912327,2.6051673457182374,9.9,-0.6741534428505258
LED Bulb,230,-0.9865955854314922,0.030900387220539997,6.42,-0.030486185619908457
Television,230,-0.8290976729650068,-0.18244445950457114,3.07,0.15126427682059834
Washing Machine,230,0.08403208923814395,-0.5441416830915143,3.61,-0.04572536247173998
Microwave Oven,230,0.2905688926337853,-0.7588994095962618,2.35,-0.22051256106681927
Geyser,230,1.369220494915587,-0.674126622818072,9.92,-0.9230279881307338
Laptop/Computer,230,-0.8123244909508743,-0.0015958477110994938,2.94,0.0012963461795540143
Iron,230,0.24276532389350786,-0.7603122893758983,2.17,-0.18457745919055443
Fan,230,-0.906220310536744,0.2145747585732846,19.34,-0.19445200434762883
Air Conditioner,230,0.8174621392682653,-0.08354287493001633,47.95,-0.06829313726091228
Refrigerator,230,-0.5363603138940336,2.6051673457182374,9.3,-1.3973083752959201
LED Bulb,230,-0.9882049042463615,-0.13440654699693014,6.6,0.13282120890518545
Television,230,-0.8810832039777267,-0.23754677091039447,3.29,0.2092984700082934
Washing Machine,230,-0.0032111236975259027,-0.5681606393453348,3.15,0.0018244340930032724
Microwave Oven,230,0.1933524363383611,-0.7518350106980793,2.31,-0.14536913104295143
Geyser,230,2.0736941395091493,-0.6995584588515289,8.75,-1.4506702763644679
